business_phone_number,description,career_page,organization_type,geographical_area,company_type,business_website_address,year_founded,headquarters,size_range,address,organization
858.455.3708,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://viacyte.com,1999,"San Diego, California", 11-50,,"ViaCyte, Inc."
,    ,http://www.verenium.com/careers.html,Public Company,Greater San Diego Area,Green technology,http://www.verenium.com,1992,(Being acquired by BASF),51-200,,Verenium
 858-748-2004,    ,,,Greater San Diego Area,Veterinary Science,http://www.vet-stem.com,,"Poway, California",,,Vet Stem
(858) 404-6600,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.vrtx.com/,1989,"Cambridge, MA",1001-5000,,Vertex Pharmaceuticals
(858) 876-6500,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.somaxon.com,,"Solana Beach, California", 11-50,,Somaxon Pharmaceuticals
858.625.0670,    ,http://www.solulink.com/about/careers,Privately Held,Greater San Diego Area,Research Products,http://www.solulink.com,2003,"San Diego, California", 11-50,,Solulink
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.sonexa.com,2008,"San Diego, California",,,Sonexa Therapeutics
(858) 259-1310,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.sirigen.com,2003,"San Diego, California", 11-50,,Sirigen (BD Biosciences)
858.909.5685,    ,http://www.sirenasmd.com/career-opportunities/,Privately Held,Greater San Diego Area,Therapeutics,http://www.sirenasmd.com,2011,"San Diego, California", 1-10,,Sirenas Marine Discovery
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://siferon.com,,"San Diego, California", 1-10,,Siferon Therapeutics
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.siliconkinetics.com,2002,"San Diego, California", 11-50,,Silicon Kinetics
(949) 454-4400,CMO specialized in sterile injectable drug products (vial/cartridge/dropper bottle/tube) and devices,http://www.siegfried-amp.com/employment, Public Company,,"Medical Devices,Medical Products",http://www.siegfried-amp.com,2002,"Irvine, CA",51-200,,Siegfried-AMP
 760-710-6100,    ,,Public Company,Greater San Diego Area,Drug Development,http://www.sigmaaldrich.com/safc/facilities/carlsbad-california.html,,"St. Louis, MO",10000+,,Sigma Aldrich SAFC
(800) 513-1569,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://sialix.com,2006,"Newton, MA", 1-10,,Sialix
,    ,,Public Company,Greater San Diego Area,Medical Products,http://www.skinmedica.com,2000,"Irvine, California",10001+,,Skinmedica (Allergan)
858-997-1490 x801,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.sherpaclinical.com,2010,"San Diego, California", 1-10,,Sherpa Clinical
,    ,,privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.sgidna.com,2013,"La Jolla, California", 11-50,,SGI DNA
760-652-4060 ,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.serametrix.com,2009,"San Diego, California",,,Serametrix
,,http://www.sequenom.com/getdoc/819d2388-4441-45d8-80c9-ee32a19172de/Jobs.aspx,,Greater San Diego Area,"Diagnostics,Research Products",http://www.sequenom.com,1994,"San Diego, California",501-1000,,Sequenom
,    ,,Privately Held,Greater San Diego Area,Green technology,http://www.sgbiofuels.com,2007,"San Diego, California",51-200,,SGB
,    ,,Privately Held,Greater San Diego Area,Nanotechnology,http://www.seashelltech.com,1996,"San Diego, California", 1-10,,Seashell Technology
(858) 784-1000,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://www.scripps.edu,,"La Jolla, California",1001-5000,,The Scripps Research Institute
,    ,http://careers.senomyx.com/positions.htm,Privately Held,Greater San Diego Area,Food Industry,http://www.senomyx.com,,"San Diego, California",51-200,,Senomyx
(858) 227-9109,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://thenicholasconorinstitute.org,2007,"San Diego, California", 1-10,,The Nicholas Conor Institute
,    ,,Privately Held,Greater San Diego Area,Medical Products,http://www.telmedx.com/,,"San Diego, California", 1-10,,telmedx
,    ,http://www.tensysmedical.com/aboutcareers.htm,privately Held,Greater San Diego Area,Medical Devices,http://www.tensysmedical.com,,"San Diego, California", 11-50,,Tensys Medical
858.217.5647,    ,,,Greater San Diego Area,Medical Devices,http://telephusmedical.com/,2012,,,,Telephus Medical
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.thebiostor.com,,"San Diego, California",,,The Biostor
 (858) 366-6900 ,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.tandemdiabetes.com,,"San Diego, California",201-500,,Tandem Diabetes Care
 (877) 290-4043,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.targeson.com,2009,"San Diego, California", 1-10,,Targeson
(858) 622-7000,    ,,,Greater San Diego Area,Therapeutics,http://www.trlusa.com/,,"San Diego, California", 11-50,,Tanabe Research Laboratories
 +1 (858) 926-2900,    ,http://www.samumed.com/contact/careers.html,Privately Held,Greater San Diego Area,Therapeutics,http://www.samumed.com,,"San Diego, California", 1-10,,Samumed
 (858) 455-0300 ext.104,"The San Diego Festival of Science and Engineering (formerly known as the San Diego Science Festival) features a week of interactive demonstrations, hands-on activities and dynamic speakers to engage kids and families in science and engineering.,
,
Hundreds of community businesses and organizations present more than 35 events throughout the county the week leading up to our EXPO DAY at PETCO Park on the last Saturday of the Festival. More than 55,000 kids, parents, scientists, educators and community members participate in annual Festival events.",, Nonprofit,Greater San Diego Area,Association,http://www.sdsciencefestival.com/,2008,"La Jolla, California", 1-10,,San Diego Festival of Science and Engineering
,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://www.salk.edu,1960,"La Jolla, California",501-1000,,Salk Institute
(760) 448-1355,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://ribomed.com,1999,"Carlsbad, California",,,Ribomed Biotechnologies Inc.
(858) 587-4815 ,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.anaphore.com,,"San Diego, California", 1-10,,"RuiYi, Inc."
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.ridgedx.com,2006,"San Diego, California", 11-50,,Ridge Diagnostics
,    ,,Nonprofit,Greater San Diego Area,Research Institute,https://scripps.ucsd.edu/,1903,"La Jolla, California",,,Scripps Institute of Oceanography (UCSD)
1-855-765-2246,Roka delivers the most accurate and reliable pathogen test results regardless of sample type. ,,Privately Held,Greater San Diego Area,Food Industry,http://rokabio.com,2009,"Warren, NJ",51-200,,Roka Bioscience
,,,Privately Held,Greater San Diego Area,"Diagnostics,Research Services",http://www.retrogen.com,1992,"San Diego, California",11-50,,"Retrogen, Inc."
,    ,,Privately Held,Greater San Diego Area,Media,http://www.sciencemedia.com,,"San Diego, California", 11-50,,"ScienceMedia, Inc."
(858) 677-9317,    ,,Privately Held,Greater San Diego Area,"Research Services,Therapeutics",http://www.retrovirox.com,2008,"San Diego, California", 1-10,,RetroVirox
(619) 258-9300,,,Privately Held,Greater San Diego Area,"Diagnostics,Research Products,Research Services",http://scantibodies.com,1976,"San Diego, California",,,Scantibodies Laboratory Inc.
(858) 768-4700,    ,,Privately Held,Greater San Diego Area,Green technology,http://www.sapphireenergy.com,2007,"San Diego, California",51-200,,Sapphire Energy Inc.
,    ,,Privately Held,Greater San Diego Area,Media,http://www.scivee.tv,2007,"San Diego, California", 1-10,,"SciVee, Inc."
877.602.8549,    ,http://www.sciencellonline.com/site/career.php,Privately Held,Greater San Diego Area,Research Products,http://www.sciencellonline.com,1999,"San Diego, California", 11-50,,ScienCell Research Laboratories
858-314-5701 ,    ,http://www.santarus.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://www.santarus.com,,"San Diego, California",201-500,,Santarus
(858) 652-5700,    ,http://www.receptos.com/careers-with-receptos.php,Public Company,Greater San Diego Area,Therapeutics,http://www.receptos.com,,"San Diego, California", 11-50,,Receptos
,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.rebexsess.com,,"San Diego, California", 1-10,,Rebexsess
,    ,http://www.sangart.com/company/career.htm,Privately Held,Greater San Diego Area,Therapeutics,http://www.sangart.com,,"San Diego, California",51-200,,Sangart
(858)646-3100,    ,,Nonprofit,Greater San Diego Area,,http://www.sanfordburnham.org,1976,"La Jolla, California",1001-5000,,Sanford-Burnham Medical Research Institute
1.760.230.8608,    ,,,Greater San Diego Area,Research Products,http://www.reagentsdirect.com/,2010,"Encinitas, California", 11-50,,Reagents Direct
